address,value
0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,79
0x70997970C51812dc3A010C7d01b50e0d17dc79C8,110
0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,903
0x90F79bf6EB2c4f870365E785982E1f101E93b906,50
0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,50
0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,50
0x976EA74026E726554dB657fA54763abd0C3a0aa9,50
0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,50
0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,50
0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,50
0xBcd4042DE499D14e55001CcbB24a551F3b954096,50
0x71bE63f3384f5fb98995898A86B02Fb2426c5788,50
0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,50
0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,50
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,50
0x8626f6940E2eb28930eFb4CeF49B2d1F2C9C1199,50
